# nu	S
1132.09 0.0202504323748
1133.17 0.0202507997482
1133.49 0.0202511664806
1471.32 0.0202512228939
1492.12 0.0202512730865
1506.51 0.0202513193773
1536.51 0.0202513584725
1558.1 0.0202513930853
1575.86 0.0202514243951
1588.52 0.0202514535429
1657.13 0.0202514733038
52.93 0.020363084376
63.02 0.0204655853394
83.39 0.02055355537
102.43 0.0206309676282
111.49 0.0207040680793
120.65 0.0207731776676
139.05 0.0208351899087
145.49 0.0208949628352
147.79 0.0209539630804
160.15 0.0210090341143
165.58 0.0210624885768
174.84 0.0211133251454
191.36 0.0211598801735
194.68 0.0212056291277
197.24 0.0212507680675
201.74 0.0212948582789
208.96 0.0213373259237
231.03 0.0213752495008
241.64 0.0214111880308
257.84 0.0214443152659
264.57 0.0214763463778
277.14 0.0215064338977
283.11 0.02153564298
291.1 0.0215637188107
309.11 0.0215894065204
319.41 0.0216138244761
333.62 0.021636595923
341.4 0.0216585144443
348.4 0.02167969332
360.36 0.0216996663594
363.71 0.0217193142115
370.53 0.0217383163651
373.85 0.021757011924
385.14 0.0217747013543
392.33 0.0217917783152
410.3 0.0218074148792
710.09 0.0218108936104
712.1 0.0218143365486
716.91 0.0218176952712
718.11 0.0218210332958
733.92 0.0218241098712
735.02 0.0218271690117
737.95 0.0218301821767
739.95 0.0218331643435
870.97 0.0218346677771
873.62 0.0218361503121
875.38 0.0218376191236
878.9 0.0218390608574
1131.74 0.021839431109
1132.27 0.0218398002912
1132.91 0.0218401681863
1133.23 0.0218405354395
1477.99 0.0218405897792
1494.89 0.0218406391962
1500.9 0.0218406869712
1508.01 0.0218407328729
1564.85 0.0218407661916
1579.46 0.021840796871
1605.22 0.0218408233913
1633.03 0.0218408460467
52.93 0.0219524571189
63.02 0.0220549580823
83.39 0.0221429281129
102.43 0.0222203403711
111.49 0.0222934408222
120.65 0.0223625504105
139.05 0.0224245626516
145.49 0.0224843355781
147.79 0.0225433358233
160.15 0.0225984068572
165.58 0.0226518613197
174.84 0.0227026978883
191.36 0.0227492529164
194.68 0.0227950018706
197.24 0.0228401408104
